0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.4582e-18,1.1539e-17,8.5187e-17,6.6574e-16,5.5384e-15,4.8215e-14,4.3101e-13,3.8866e-12,3.4744e-11,3.0241e-10,2.5157e-09,1.9628e-08,1.4108e-07,9.1899e-07,5.353e-06,2.7605e-05,0.00012527,0.00049911,0.0017476,0.0053975,0.014782,0.036124,0.07927,0.15711,0.28261,0.46297,0.69216,0.94484,1.1766,1.3338,1.3716,1.2739,1.0628,0.79103,0.52111,0.30093,0.15055,0.064309,0.023017,0.0067338,0.0015554,0.00026941,3.2137e-05,2.2324e-06,5.487e-08,-6.2095e-10,3.2765e-11,-2.8588e-12,3.2005e-13,-3.8499e-14,3.357e-15,6.1726e-16,-6.4991e-16,3.7296e-16,-1.933e-16,9.8251e-17,-5.1022e-17,2.663e-17,-1.4823e-17,7.873e-18,-4.9606e-18,2.4343e-18,-2.0033e-18,6.5658e-19,-1.0419e-18,0
0,1.1539e-17,8.6401e-17,5.9458e-16,4.3381e-15,3.3946e-14,2.7965e-13,2.3719e-12,2.0294e-11,1.7186e-10,1.414e-09,1.1097e-08,8.1557e-08,5.5177e-07,3.384e-06,1.8579e-05,9.0481e-05,0.00038881,0.0014716,0.0049133,0.014526,0.038236,0.090168,0.19169,0.36945,0.64845,1.0399,1.526,2.0499,2.5174,2.8193,2.8689,2.6402,2.1848,1.6145,1.0568,0.60677,0.30197,0.12836,0.045732,0.013319,0.0030625,0.00052785,6.2589e-05,4.3099e-06,1.0366e-07,-1.209e-09,6.3711e-11,-5.5167e-12,6.0961e-13,-7.1345e-14,5.5035e-15,1.5228e-15,-1.3738e-15,7.6567e-16,-3.9179e-16,1.9771e-16,-1.0216e-16,5.315e-17,-2.9495e-17,1.5642e-17,-9.8295e-18,4.8236e-18,-3.9569e-18,1.2995e-18,-2.054e-18,0
0,8.5187e-17,5.9458e-16,3.7195e-15,2.4575e-14,1.7572e-13,1.3376e-12,1.0571e-11,8.4686e-11,6.73e-10,5.2001e-09,3.8319e-08,2.6437e-07,1.6787e-06,9.6643e-06,4.9845e-05,0.00022837,0.00092506,0.0033095,0.010477,0.029478,0.074136,0.16772,0.34349,0.64036,1.0915,1.7059,2.448,3.2251,3.8943,4.2977,4.3175,3.9288,3.2188,2.3575,1.5308,0.87252,0.4313,0.18216,0.064495,0.018666,0.0042636,0.00072927,8.5631e-05,5.8063e-06,1.3389e-07,-1.6626e-09,8.7268e-11,-7.4496e-12,8.0288e-13,-8.8773e-14,4.898e-15,2.93e-15,-2.1744e-15,1.1582e-15,-5.805e-16,2.8947e-16,-1.4837e-16,7.6774e-17,-4.2393e-17,2.2428e-17,-1.4031e-17,6.8869e-18,-5.6184e-18,1.852e-18,-2.9076e-18,0
0,6.6574e-16,4.3381e-15,2.4575e-14,1.4514e-13,9.304e-13,6.4174e-12,4.6446e-11,3.4344e-10,2.5319e-09,1.8201e-08,1.2497e-07,8.039e-07,4.7613e-06,2.5581e-05,0.00012322,0.00052794,0.0020037,0.0067329,0.020082,0.053422,0.12753,0.27506,0.53944,0.96734,1.593,2.4154,3.3758,4.3461,5.1438,5.5782,5.5187,4.9544,4.0105,2.9059,1.8684,1.0553,0.51722,0.21666,0.076086,0.021835,0.0049413,0.00083592,9.671e-05,6.3974e-06,1.3696e-07,-1.8959e-09,9.87e-11,-8.2265e-12,8.4804e-13,-8.3532e-14,5.0878e-16,4.9405e-15,-3.0296e-15,1.5255e-15,-7.4385e-16,3.6495e-16,-1.8494e-16,9.4979e-17,-5.2077e-17,2.7456e-17,-1.7067e-17,8.3807e-18,-6.7822e-18,2.2485e-18,-3.4945e-18,0
0,5.5384e-15,3.3946e-14,1.7572e-13,9.304e-13,5.318e-12,3.2861e-11,2.1491e-10,1.4477e-09,9.7818e-09,6.4712e-08,4.0993e-07,2.4367e-06,1.3351e-05,6.6417e-05,0.00029658,0.0011798,0.0041656,0.013056,0.036437,0.091024,0.2049,0.41855,0.78116,1.3396,2.12,3.1036,4.2063,5.2718,6.0948,6.4754,6.2918,5.5588,4.4358,3.1726,2.0158,1.126,0.54604,0.22637,0.078662,0.022323,0.0049883,0.00083088,9.4066e-05,5.9901e-06,1.127e-07,-1.8437e-09,9.503e-11,-7.6177e-12,7.2231e-13,-5.3311e-14,-7.755e-15,7.4674e-15,-3.8813e-15,1.838e-15,-8.6748e-16,4.1713e-16,-2.0836e-16,1.0597e-16,-5.7574e-17,3.0218e-17,-1.8624e-17,9.1517e-18,-7.3257e-18,2.4483e-18,-3.7523e-18,0
0,4.8215e-14,2.7965e-13,1.3376e-12,6.4174e-12,3.2861e-11,1.8154e-10,1.0654e-09,6.476e-09,3.9693e-08,2.3915e-07,1.3838e-06,7.5289e-06,3.7818e-05,0.00017275,0.00070944,0.0026006,0.0084818,0.024624,0.063863,0.14881,0.31377,0.60317,1.0646,1.7357,2.6252,3.6922,4.8304,5.8698,6.6049,6.8524,6.5196,5.6532,4.4356,3.124,1.9567,1.0783,0.51614,0.21121,0.072412,0.020251,0.0044494,0.0007254,7.9611e-05,4.7855e-06,7.1223e-08,-1.4765e-09,7.5749e-11,-5.6629e-12,4.4037e-13,-1.9716e-15,-1.8855e-14,1.021e-14,-4.6356e-15,2.0641e-15,-9.3999e-16,4.4166e-16,-2.1688e-16,1.0901e-16,-5.8561e-17,3.0565e-17,-1.8636e-17,9.1663e-18,-7.2351e-18,2.4437e-18,-3.6772e-18,0
0,4.3101e-13,2.3719e-12,1.0571e-11,4.6446e-11,2.1491e-10,1.0654e-09,5.6036e-09,3.0586e-08,1.6885e-07,9.1895e-07,4.815e-06,2.3775e-05,0.00010859,0.00045186,0.0016942,0.0056831,0.017007,0.045443,0.10884,0.23509,0.46144,0.82962,1.3766,2.1213,3.0497,4.0997,5.1536,6.0463,6.5964,6.6594,6.1841,5.2467,4.0362,2.7914,1.7188,0.93191,0.43898,0.17675,0.059573,0.016349,0.0035122,0.00055608,5.8398e-05,3.2165e-06,2.9035e-08,-8.5305e-10,4.3818e-11,-2.7087e-12,5.5558e-14,6.0694e-14,-3.0739e-14,1.2695e-14,-5.1758e-15,2.1745e-15,-9.5451e-16,4.3738e-16,-2.107e-16,1.0449e-16,-5.539e-17,2.8718e-17,-1.7284e-17,8.5114e-18,-6.6023e-18,2.2601e-18,-3.3229e-18,0
0,3.8866e-12,2.0294e-11,8.4686e-11,3.4344e-10,1.4477e-09,6.476e-09,3.0586e-08,1.497e-07,7.4136e-07,3.6245e-06,1.7088e-05,7.6054e-05,0.00031372,0.0011816,0.0040194,0.012265,0.033488,0.081894,0.18014,0.3587,0.65179,1.0899,1.6906,2.4491,3.3291,4.2563,5.1173,5.7716,6.0809,5.9516,5.3757,4.4479,3.344,2.2638,1.3661,0.72632,0.33555,0.13243,0.043688,0.011701,0.0024407,0.00037143,3.6651e-05,1.7629e-06,4.8679e-10,-1.6746e-10,6.8697e-12,5.7856e-13,-3.4557e-13,1.2054e-13,-4.0733e-14,1.4372e-14,-5.3871e-15,2.1483e-15,-9.0992e-16,4.0637e-16,-1.9182e-16,9.3727e-17,-4.8957e-17,2.519e-17,-1.4936e-17,7.3645e-18,-5.5956e-18,1.9468e-18,-2.7822e-18,0
0,3.4744e-11,1.7186e-10,6.73e-10,2.5319e-09,9.7818e-09,3.9693e-08,1.6885e-07,7.4136e-07,3.2881e-06,1.4394e-05,6.0803e-05,0.00024278,0.0009,0.003053,0.0093765,0.025906,0.064232,0.14311,0.28776,0.52577,0.88015,1.362,1.9651,2.6627,3.4057,4.1217,4.7183,5.0943,5.1628,4.8803,4.2719,3.4349,2.515,1.6609,0.97871,0.50837,0.22941,0.088345,0.028376,0.007369,0.001479,0.00021337,1.9267e-05,7.4163e-07,-9.9713e-09,3.1194e-10,-2.3298e-11,3.2814e-12,-6.5713e-13,1.6194e-13,-4.6158e-14,1.4753e-14,-5.1878e-15,1.9793e-15,-8.1147e-16,3.5358e-16,-1.6355e-16,7.8705e-17,-4.0473e-17,2.0653e-17,-1.2044e-17,5.9477e-18,-4.4129e-18,1.5645e-18,-2.1626e-18,0
